Airline,Flight Number,Source City,Departure Time,Number of Stops,Arrival Time,Destination City,Duration (Minutes),Price
Norse Atlantic Airways (UK),712,Los Angeles,2024-04-25T16:30:00,0,2024-04-26T10:55:00,London,625,$244
Virgin Atlantic,142,Los Angeles,2024-04-25T19:10:00,0,2024-04-26T13:30:00,London,620,$793
Virgin Atlantic,8,Los Angeles,2024-04-25T15:55:00,0,2024-04-26T10:15:00,London,620,$793
Delta,5925,Los Angeles,2024-04-25T19:10:00,0,2024-04-26T13:30:00,London,620,$793
Delta,5978,Los Angeles,2024-04-25T15:55:00,0,2024-04-26T10:15:00,London,620,$793
Virgin Atlantic,4097,Los Angeles,2024-04-25T20:00:00,0,2024-04-26T14:50:00,London,650,$793
Delta,186,Los Angeles,2024-04-25T20:00:00,0,2024-04-26T14:50:00,London,650,$793
British Airways,1613,Los Angeles,2024-04-25T21:30:00,0,2024-04-26T16:05:00,London,635,$857
United,231,Los Angeles,2024-04-25T12:50:00,0,2024-04-26T07:25:00,London,635,$823
United,923,Los Angeles,2024-04-25T16:50:00,0,2024-04-26T11:25:00,London,635,$823
Virgin Atlantic,142,Los Angeles,2024-04-26T19:10:00,0,2024-04-27T13:30:00,London,620,$793
Scandinavian Airlines,932,Los Angeles,2024-04-26T16:15:00,1,2024-04-27T13:35:00,London,800,$537
Virgin Atlantic,8,Los Angeles,2024-04-26T15:55:00,0,2024-04-27T10:15:00,London,620,$793
Delta,5925,Los Angeles,2024-04-26T19:10:00,0,2024-04-27T13:30:00,London,620,$793
Delta,5978,Los Angeles,2024-04-26T15:55:00,0,2024-04-27T10:15:00,London,620,$793
Virgin Atlantic,4097,Los Angeles,2024-04-26T20:00:00,0,2024-04-27T14:50:00,London,650,$793
Delta,186,Los Angeles,2024-04-26T20:00:00,0,2024-04-27T14:50:00,London,650,$793
United,923,Los Angeles,2024-04-26T16:50:00,0,2024-04-27T11:25:00,London,635,$823
British Airways,1604,Los Angeles,2024-04-26T18:15:00,0,2024-04-27T12:50:00,London,635,$858
United,231,Los Angeles,2024-04-26T12:50:00,0,2024-04-27T07:25:00,London,635,$823
Virgin Atlantic,142,Los Angeles,2024-04-27T19:10:00,0,2024-04-28T13:30:00,London,620,$793
Virgin Atlantic,24,Los Angeles,2024-04-27T22:55:00,0,2024-04-28T17:15:00,London,620,$793
Delta,5925,Los Angeles,2024-04-27T19:10:00,0,2024-04-28T13:30:00,London,620,$793
Delta,5976,Los Angeles,2024-04-27T22:55:00,0,2024-04-28T17:15:00,London,620,$793
Virgin Atlantic,4097,Los Angeles,2024-04-27T20:00:00,0,2024-04-28T14:50:00,London,650,$793
United,231,Los Angeles,2024-04-27T12:50:00,0,2024-04-28T07:25:00,London,635,$823
United,923,Los Angeles,2024-04-27T16:50:00,0,2024-04-28T11:25:00,London,635,$823
Alaska Airlines,8036,Los Angeles,2024-04-27T14:25:00,0,2024-04-28T09:00:00,London,635,$832
Lufthansa,9336,Los Angeles,2024-04-27T12:50:00,0,2024-04-28T07:25:00,London,635,$823
Delta,186,Los Angeles,2024-04-27T20:00:00,0,2024-04-28T14:50:00,London,650,$793
Norse Atlantic Airways (UK),712,Los Angeles,2024-04-28T16:30:00,0,2024-04-29T10:55:00,London,625,$261
Virgin Atlantic,142,Los Angeles,2024-04-28T19:10:00,0,2024-04-29T13:30:00,London,620,$743
Virgin Atlantic,24,Los Angeles,2024-04-28T22:55:00,0,2024-04-29T17:15:00,London,620,$743
British Airways,1509,Los Angeles,2024-04-28T14:25:00,0,2024-04-29T09:00:00,London,635,$757
Delta,5925,Los Angeles,2024-04-28T19:10:00,0,2024-04-29T13:30:00,London,620,$743
Alaska Airlines,8036,Los Angeles,2024-04-28T14:25:00,0,2024-04-29T09:00:00,London,635,$732
British Airways,1604,Los Angeles,2024-04-28T18:15:00,0,2024-04-29T12:50:00,London,635,$757
British Airways,1613,Los Angeles,2024-04-28T21:30:00,0,2024-04-29T16:05:00,London,635,$757
Delta,5976,Los Angeles,2024-04-28T22:55:00,0,2024-04-29T17:15:00,London,620,$743
Alaska Airlines,8034,Los Angeles,2024-04-28T18:15:00,0,2024-04-29T12:50:00,London,635,$732
French Bee,731,Los Angeles,2024-04-29T19:45:00,1,2024-04-30T17:55:00,London,850,$374
Virgin Atlantic,142,Los Angeles,2024-04-29T19:10:00,0,2024-04-30T13:30:00,London,620,$743
British Airways,280,Los Angeles,2024-04-29T17:10:00,0,2024-04-30T11:30:00,London,620,$758
Virgin Atlantic,24,Los Angeles,2024-04-29T22:55:00,0,2024-04-30T17:15:00,London,620,$743
British Airways,282,Los Angeles,2024-04-29T15:40:00,0,2024-04-30T10:10:00,London,630,$758
Delta,5925,Los Angeles,2024-04-29T19:10:00,0,2024-04-30T13:30:00,London,620,$743
Alaska Airlines,8036,Los Angeles,2024-04-29T14:25:00,0,2024-04-30T09:00:00,London,635,$726
Delta,5976,Los Angeles,2024-04-29T22:55:00,0,2024-04-30T17:15:00,London,620,$743
Alaska Airlines,8034,Los Angeles,2024-04-29T18:15:00,0,2024-04-30T12:50:00,London,635,$726
American Airlines,6991,Los Angeles,2024-04-29T17:10:00,0,2024-04-30T11:30:00,London,620,$758
Norse Atlantic Airways (UK),712,Los Angeles,2024-04-30T16:30:00,0,2024-05-01T10:55:00,London,625,$258
Virgin Atlantic,142,Los Angeles,2024-04-30T19:10:00,0,2024-05-01T13:30:00,London,620,$743
Virgin Atlantic,24,Los Angeles,2024-04-30T22:55:00,0,2024-05-01T17:15:00,London,620,$743
British Airways,280,Los Angeles,2024-04-30T17:10:00,0,2024-05-01T11:30:00,London,620,$757
Delta,5925,Los Angeles,2024-04-30T19:10:00,0,2024-05-01T13:30:00,London,620,$743
British Airways,282,Los Angeles,2024-04-30T15:40:00,0,2024-05-01T10:10:00,London,630,$757
British Airways,268,Los Angeles,2024-04-30T19:30:00,0,2024-05-01T14:00:00,London,630,$757
Delta,5976,Los Angeles,2024-04-30T22:55:00,0,2024-05-01T17:15:00,London,620,$743
Alaska Airlines,8036,Los Angeles,2024-04-30T14:25:00,0,2024-05-01T09:00:00,London,635,$732
British Airways,1613,Los Angeles,2024-04-30T21:30:00,0,2024-05-01T16:05:00,London,635,$757
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-02T16:30:00,0,2024-05-03T10:55:00,London,625,$231
Virgin Atlantic,142,Los Angeles,2024-05-02T19:10:00,0,2024-05-03T13:30:00,London,620,$793
Virgin Atlantic,24,Los Angeles,2024-05-02T22:55:00,0,2024-05-03T17:15:00,London,620,$793
Virgin Atlantic,8,Los Angeles,2024-05-02T15:55:00,0,2024-05-03T10:15:00,London,620,$793
Delta,5976,Los Angeles,2024-05-02T22:55:00,0,2024-05-03T17:15:00,London,620,$793
Delta,5925,Los Angeles,2024-05-02T19:10:00,0,2024-05-03T13:30:00,London,620,$793
Delta,5978,Los Angeles,2024-05-02T15:55:00,0,2024-05-03T10:15:00,London,620,$793
Virgin Atlantic,4097,Los Angeles,2024-05-02T20:00:00,0,2024-05-03T14:50:00,London,650,$793
British Airways,280,Los Angeles,2024-05-02T17:10:00,0,2024-05-03T11:30:00,London,620,$858
Delta,186,Los Angeles,2024-05-02T20:00:00,0,2024-05-03T14:50:00,London,650,$793
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-03T16:30:00,0,2024-05-04T10:55:00,London,625,$288
Virgin Atlantic,142,Los Angeles,2024-05-03T19:10:00,0,2024-05-04T13:30:00,London,620,$793
Virgin Atlantic,24,Los Angeles,2024-05-03T22:55:00,0,2024-05-04T17:15:00,London,620,$793
Virgin Atlantic,8,Los Angeles,2024-05-03T15:55:00,0,2024-05-04T10:15:00,London,620,$793
Delta,5925,Los Angeles,2024-05-03T19:10:00,0,2024-05-04T13:30:00,London,620,$793
Delta,5976,Los Angeles,2024-05-03T22:55:00,0,2024-05-04T17:15:00,London,620,$793
Virgin Atlantic,4097,Los Angeles,2024-05-03T20:00:00,0,2024-05-04T14:50:00,London,650,$793
Delta,5978,Los Angeles,2024-05-03T15:55:00,0,2024-05-04T10:15:00,London,620,$793
Delta,186,Los Angeles,2024-05-03T20:00:00,0,2024-05-04T14:50:00,London,650,$793
United,923,Los Angeles,2024-05-03T16:50:00,0,2024-05-04T11:25:00,London,635,$823
Virgin Atlantic,8,Los Angeles,2024-05-04T15:55:00,0,2024-05-05T10:15:00,London,620,$793
Virgin Atlantic,142,Los Angeles,2024-05-04T19:10:00,0,2024-05-05T13:30:00,London,620,$793
Virgin Atlantic,24,Los Angeles,2024-05-04T22:55:00,0,2024-05-05T17:15:00,London,620,$793
Delta,5978,Los Angeles,2024-05-04T15:55:00,0,2024-05-05T10:15:00,London,620,$793
Delta,5925,Los Angeles,2024-05-04T19:10:00,0,2024-05-05T13:30:00,London,620,$793
Delta,5976,Los Angeles,2024-05-04T22:55:00,0,2024-05-05T17:15:00,London,620,$793
Virgin Atlantic,4097,Los Angeles,2024-05-04T20:00:00,0,2024-05-05T14:50:00,London,650,$793
United,231,Los Angeles,2024-05-04T12:50:00,0,2024-05-05T07:25:00,London,635,$823
United,923,Los Angeles,2024-05-04T16:50:00,0,2024-05-05T11:25:00,London,635,$823
Alaska Airlines,8036,Los Angeles,2024-05-04T14:25:00,0,2024-05-05T09:00:00,London,635,$832
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-05T16:30:00,0,2024-05-06T10:55:00,London,625,$275
Virgin Atlantic,8,Los Angeles,2024-05-05T15:55:00,0,2024-05-06T10:15:00,London,620,$812
British Airways,280,Los Angeles,2024-05-05T17:10:00,0,2024-05-06T11:30:00,London,620,$811
Virgin Atlantic,142,Los Angeles,2024-05-05T19:10:00,0,2024-05-06T13:30:00,London,620,$812
British Airways,282,Los Angeles,2024-05-05T15:40:00,0,2024-05-06T10:10:00,London,630,$811
British Airways,268,Los Angeles,2024-05-05T19:30:00,0,2024-05-06T14:00:00,London,630,$811
Virgin Atlantic,24,Los Angeles,2024-05-05T22:55:00,0,2024-05-06T17:15:00,London,620,$812
Delta,5978,Los Angeles,2024-05-05T15:55:00,0,2024-05-06T10:15:00,London,620,$812
Alaska Airlines,8036,Los Angeles,2024-05-05T14:25:00,0,2024-05-06T09:00:00,London,635,$795
American Airlines,6991,Los Angeles,2024-05-05T17:10:00,0,2024-05-06T11:30:00,London,620,$812
Virgin Atlantic,8,Los Angeles,2024-05-06T15:55:00,0,2024-05-07T10:15:00,London,620,$812
British Airways,280,Los Angeles,2024-05-06T17:10:00,0,2024-05-07T11:30:00,London,620,$812
Virgin Atlantic,142,Los Angeles,2024-05-06T19:10:00,0,2024-05-07T13:30:00,London,620,$812
British Airways,282,Los Angeles,2024-05-06T15:40:00,0,2024-05-07T10:10:00,London,630,$812
Delta,5978,Los Angeles,2024-05-06T15:55:00,0,2024-05-07T10:15:00,London,620,$812
Virgin Atlantic,24,Los Angeles,2024-05-06T22:55:00,0,2024-05-07T17:15:00,London,620,$812
British Airways,268,Los Angeles,2024-05-06T19:30:00,0,2024-05-07T14:00:00,London,630,$812
French Bee,731,Los Angeles,2024-05-06T19:45:00,1,2024-05-07T17:55:00,London,850,$420
Delta,5925,Los Angeles,2024-05-06T19:10:00,0,2024-05-07T13:30:00,London,620,$812
Alaska Airlines,8036,Los Angeles,2024-05-06T14:25:00,0,2024-05-07T09:00:00,London,635,$795
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-07T16:30:00,0,2024-05-08T10:55:00,London,625,$288
British Airways,280,Los Angeles,2024-05-07T17:10:00,0,2024-05-08T11:30:00,London,620,$807
Virgin Atlantic,8,Los Angeles,2024-05-07T15:55:00,0,2024-05-08T10:15:00,London,620,$812
Virgin Atlantic,142,Los Angeles,2024-05-07T19:10:00,0,2024-05-08T13:30:00,London,620,$812
British Airways,282,Los Angeles,2024-05-07T15:40:00,0,2024-05-08T10:10:00,London,630,$807
British Airways,1509,Los Angeles,2024-05-07T14:25:00,0,2024-05-08T09:00:00,London,635,$807
British Airways,268,Los Angeles,2024-05-07T19:30:00,0,2024-05-08T14:00:00,London,630,$807
Virgin Atlantic,24,Los Angeles,2024-05-07T22:55:00,0,2024-05-08T17:15:00,London,620,$812
Delta,5978,Los Angeles,2024-05-07T15:55:00,0,2024-05-08T10:15:00,London,620,$812
British Airways,1604,Los Angeles,2024-05-07T18:15:00,0,2024-05-08T12:50:00,London,635,$807
United,231,Los Angeles,2024-05-08T12:50:00,0,2024-05-09T07:25:00,London,635,$628
United,923,Los Angeles,2024-05-08T16:50:00,0,2024-05-09T11:25:00,London,635,$628
British Airways,280,Los Angeles,2024-05-08T17:10:00,0,2024-05-09T11:30:00,London,620,$812
Virgin Atlantic,8,Los Angeles,2024-05-08T15:55:00,0,2024-05-09T10:15:00,London,620,$812
Virgin Atlantic,142,Los Angeles,2024-05-08T19:10:00,0,2024-05-09T13:30:00,London,620,$812
United,2146,Los Angeles,2024-05-08T16:15:00,1,2024-05-09T12:20:00,London,725,$632
Virgin Atlantic,24,Los Angeles,2024-05-08T22:55:00,0,2024-05-09T17:15:00,London,620,$812
Delta,5978,Los Angeles,2024-05-08T15:55:00,0,2024-05-09T10:15:00,London,620,$812
Delta,5925,Los Angeles,2024-05-08T19:10:00,0,2024-05-09T13:30:00,London,620,$812
American Airlines,6991,Los Angeles,2024-05-08T17:10:00,0,2024-05-09T11:30:00,London,620,$812
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-09T16:30:00,0,2024-05-10T10:55:00,London,625,$333
United,923,Los Angeles,2024-05-09T16:50:00,0,2024-05-10T11:25:00,London,635,$628
United,231,Los Angeles,2024-05-09T12:50:00,0,2024-05-10T07:25:00,London,635,$628
Alaska Airlines,8034,Los Angeles,2024-05-09T18:15:00,0,2024-05-10T12:50:00,London,635,$685
Iberia,4262,Los Angeles,2024-05-09T18:15:00,0,2024-05-10T12:50:00,London,635,$647
Finnair,4013,Los Angeles,2024-05-09T18:15:00,0,2024-05-10T12:50:00,London,635,$678
British Airways,1604,Los Angeles,2024-05-09T18:15:00,0,2024-05-10T12:50:00,London,635,$757
SWISS,41,Los Angeles,2024-05-09T19:40:00,1,2024-05-10T17:35:00,London,835,$495
Virgin Atlantic,142,Los Angeles,2024-05-09T19:10:00,0,2024-05-10T13:30:00,London,620,$812
Virgin Atlantic,8,Los Angeles,2024-05-09T15:55:00,0,2024-05-10T10:15:00,London,620,$812
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-10T16:30:00,0,2024-05-11T10:55:00,London,625,$258
British Airways,268,Los Angeles,2024-05-10T19:30:00,0,2024-05-11T14:00:00,London,630,$628
British Airways,1509,Los Angeles,2024-05-10T14:25:00,0,2024-05-11T09:00:00,London,635,$628
American Airlines,6983,Los Angeles,2024-05-10T19:30:00,0,2024-05-11T14:00:00,London,630,$628
United,231,Los Angeles,2024-05-10T12:50:00,0,2024-05-11T07:25:00,London,635,$628
United,923,Los Angeles,2024-05-10T16:50:00,0,2024-05-11T11:25:00,London,635,$628
American Airlines,136,Los Angeles,2024-05-10T14:25:00,0,2024-05-11T09:00:00,London,635,$628
Iberia,7428,Los Angeles,2024-05-10T19:30:00,0,2024-05-11T14:00:00,London,630,$612
Iberia,4237,Los Angeles,2024-05-10T14:25:00,0,2024-05-11T09:00:00,London,635,$612
Finnair,5784,Los Angeles,2024-05-10T14:25:00,0,2024-05-11T09:00:00,London,635,$628
British Airways,1509,Los Angeles,2024-05-11T14:25:00,0,2024-05-12T09:00:00,London,635,$628
British Airways,1604,Los Angeles,2024-05-11T18:15:00,0,2024-05-12T12:50:00,London,635,$628
United,231,Los Angeles,2024-05-11T12:50:00,0,2024-05-12T07:25:00,London,635,$628
British Airways,1613,Los Angeles,2024-05-11T21:25:00,0,2024-05-12T16:05:00,London,640,$628
United,923,Los Angeles,2024-05-11T16:50:00,0,2024-05-12T11:25:00,London,635,$628
American Airlines,136,Los Angeles,2024-05-11T14:25:00,0,2024-05-12T09:00:00,London,635,$628
American Airlines,134,Los Angeles,2024-05-11T18:15:00,0,2024-05-12T12:50:00,London,635,$628
American Airlines,138,Los Angeles,2024-05-11T21:25:00,0,2024-05-12T16:05:00,London,640,$628
Iberia,4237,Los Angeles,2024-05-11T14:25:00,0,2024-05-12T09:00:00,London,635,$612
Finnair,5784,Los Angeles,2024-05-11T14:25:00,0,2024-05-12T09:00:00,London,635,$628
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-12T16:30:00,0,2024-05-13T10:55:00,London,625,$367
British Airways,1604,Los Angeles,2024-05-12T18:15:00,0,2024-05-13T12:50:00,London,635,$628
United,231,Los Angeles,2024-05-12T12:50:00,0,2024-05-13T07:25:00,London,635,$628
British Airways,1613,Los Angeles,2024-05-12T21:25:00,0,2024-05-13T16:05:00,London,640,$628
United,923,Los Angeles,2024-05-12T16:50:00,0,2024-05-13T11:25:00,London,635,$628
American Airlines,134,Los Angeles,2024-05-12T18:15:00,0,2024-05-13T12:50:00,London,635,$628
British Airways,1509,Los Angeles,2024-05-12T14:25:00,0,2024-05-13T09:00:00,London,635,$671
American Airlines,138,Los Angeles,2024-05-12T21:25:00,0,2024-05-13T16:05:00,London,640,$628
Finnair,5784,Los Angeles,2024-05-12T14:25:00,0,2024-05-13T09:00:00,London,635,$628
Iberia,4262,Los Angeles,2024-05-12T18:15:00,0,2024-05-13T12:50:00,London,635,$612
British Airways,280,Los Angeles,2024-05-13T17:10:00,0,2024-05-14T11:30:00,London,620,$628
British Airways,282,Los Angeles,2024-05-13T15:40:00,0,2024-05-14T10:10:00,London,630,$628
British Airways,1509,Los Angeles,2024-05-13T14:25:00,0,2024-05-14T09:00:00,London,635,$628
British Airways,268,Los Angeles,2024-05-13T19:30:00,0,2024-05-14T14:00:00,London,630,$628
British Airways,1604,Los Angeles,2024-05-13T18:15:00,0,2024-05-14T12:50:00,London,635,$628
American Airlines,6991,Los Angeles,2024-05-13T17:10:00,0,2024-05-14T11:30:00,London,620,$628
United,231,Los Angeles,2024-05-13T12:50:00,0,2024-05-14T07:25:00,London,635,$628
American Airlines,6935,Los Angeles,2024-05-13T15:40:00,0,2024-05-14T10:10:00,London,630,$628
American Airlines,6983,Los Angeles,2024-05-13T19:30:00,0,2024-05-14T14:00:00,London,630,$628
United,923,Los Angeles,2024-05-13T16:50:00,0,2024-05-14T11:25:00,London,635,$628
Norse Atlantic Airways (UK),712,Los Angeles,2024-05-14T16:30:00,0,2024-05-15T10:55:00,London,625,$329
British Airways,282,Los Angeles,2024-05-14T15:40:00,0,2024-05-15T10:10:00,London,630,$628
British Airways,268,Los Angeles,2024-05-14T19:30:00,0,2024-05-15T14:00:00,London,630,$628
